Name,Sex,Event,Equipment,Age,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Tested,AgeClass,Country,Glossbrenner,Federation,Date,MeetCountry,MeetState,MeetName
Teresa Tarancón Jiménez,F,SBD,Raw,30.5,SNR,56.35,57,-115,117.5,-120,,117.5,-62.5,62.5,65,,65,150,160,-162.5,,160,342.5,1,401.02,401.02,Yes,24-34,,354.68,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Marta Pérez-Juana Cortés,F,SBD,Raw,21.5,JUN,61.7,63,100,105,-110,,105,62.5,67.5,70,,70,122.5,132.5,140,,140,315,2,343.71,350.58,Yes,20-23,,303.58,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Jessica Cabañil Chávez,F,SBD,Raw,20.5,JUN,51.25,52,100,105,110,,110,45,-50,-50,,45,110,115,-117.5,,115,270,3,340.38,350.59,Yes,20-23,,301.89,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Sandra Sabido Buiza,F,SBD,Raw,22.5,JUN,58.75,63,92.5,100,105,,105,60,62.5,65,,65,112.5,120,125,,125,295,4,334.32,337.66,Yes,20-23,,295.47,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Alicia Rodríguez de la Roz,F,SBD,Raw,25.5,SNR,46,47,65,-75,-75,,65,42.5,45,-47.5,,45,90,-100,100,,100,210,5,286.8,286.8,Yes,24-34,,256.11,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Elena Álvarez Pérez,F,SBD,Raw,25.5,SNR,46.75,47,-60,60,-65,,60,27.5,30,32.5,,32.5,77.5,87.5,-92.5,,87.5,180,6,243.01,243.01,Yes,24-34,,216.72,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Adrián Solana Guerrero,M,SBD,Raw,24.5,SNR,93,93,227.5,237.5,-245,,237.5,145,152.5,-155,,152.5,290,305,,,305,695,1,436.59,436.59,Yes,24-34,Spain,420.41,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Borja Carabias Del Rey,M,SBD,Raw,27.5,SNR,74.75,83,185,192.5,-200,,192.5,132.5,-140,-140,,132.5,217.5,227.5,230,,230,555,2,396.39,396.39,Yes,24-34,,383.46,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
José Manuel Tordesillas Villarrubia,M,SBD,Raw,22.5,JUN,73.2,74,175,185,190,,190,-115,-115,115,,115,215,230,-240,,230,535,3,387.83,391.71,Yes,20-23,,375.37,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Alejandro Álvarez Delgado,M,SBD,Raw,40.5,M1,72.25,74,130,140,145,,145,110,117.5,122.5,,122.5,210,225,232.5,,232.5,500,4,365.92,365.92,Yes,40-44,,354.27,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Rubén Jubete Liedo,M,SBD,Raw,21.5,JUN,82.02,83,-170,175,-185,,175,-120,120,127.5,,127.5,210,220,230,,230,532.5,5,357.98,365.14,Yes,20-23,,345.64,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Rewel Cuello Cuello,M,SBD,Raw,28.5,SNR,96.6,105,-170,180,-190,,180,125,132.5,140,,140,210,-230,245,,245,565,6,348.85,348.85,Yes,24-34,,335.6,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Raúl Nadal Llorente,M,SBD,Raw,19.5,JUN,78.95,83,160,170,180,,180,120,125,-130,,125,190,200,-205,,200,505,7,347.68,361.58,Yes,Unknown,,335.95,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Diego Sánchez Boto,M,SBD,Raw,33.5,SNR,69.05,74,135,145,-150,,145,110,117.5,-120,,117.5,165,180,195,,195,457.5,8,346.48,346.48,Yes,24-34,,335.85,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Jorge Fernández Carlos,M,SBD,Raw,20.5,JUN,71.9,74,-135,145,155,,155,90,-95,95,,95,210,-225,-225,,210,460,9,337.85,347.99,Yes,20-23,,327.13,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
José Granda Murias,M,SBD,Raw,21.5,JUN,81.2,83,150,157.5,162.5,,162.5,110,117.5,120,,120,180,187.5,202.5,,202.5,485,10,328.05,334.61,Yes,20-23,,316.8,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Santiago García Fernández,M,SBD,Raw,22.5,JUN,66,66,125,130,-132.5,,130,100,105,-110,,105,162.5,172.5,180,,180,415,11,325.86,329.12,Yes,20-23,,316.3,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Alberto López Rodríguez,M,SBD,Raw,24.5,SNR,79.5,83,152.5,162.5,-170,,162.5,110,115,117.5,,117.5,185,195,-200,,195,475,12,325.57,325.57,Yes,24-34,,314.54,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Javier Sánchez Osorio,M,SBD,Raw,26.5,SNR,88.9,93,182.5,192.5,-200,,192.5,100,-107.5,-107.5,,100,-200,210,-220,,210,502.5,13,322.83,322.83,Yes,24-34,,311.19,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Javier Meléndez Escribano,M,SBD,Raw,45.5,M1,76.25,83,140,-155,155,,155,102.5,-110,110,,110,190,-200,-200,,190,455,14,320.55,338.18,Yes,45-49,,309.96,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Daniel Caamaño Gonzalez,M,SBD,Raw,22.5,JUN,82.5,83,160,170,-180,,170,-95,95,102.5,,102.5,190,205,-215,,205,477.5,15,319.88,323.08,Yes,20-23,,308.81,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
